Category,Word,Likelihood,Prior
fact,nothing,0.0024937655860349127,0.5
fact,cells,0.007481296758104738,0.5
fact,travels,0.004987531172069825,0.5
fact,great,0.007481296758104738,0.5
fact,skeleton,0.004987531172069825,0.5
fact,disasters,0.0024937655860349127,0.5
fact,secretary,0.004987531172069825,0.5
fact,sea,0.004987531172069825,0.5
fact,enjoyable,0.0024937655860349127,0.5
fact,relationships,0.0024937655860349127,0.5
fact,eiffel,0.004987531172069825,0.5
fact,preventable,0.0024937655860349127,0.5
fact,talent,0.0024937655860349127,0.5
fact,dangerous,0.0024937655860349127,0.5
fact,dna,0.004987531172069825,0.5
fact,money,0.0024937655860349127,0.5
fact,learn,0.0024937655860349127,0.5
fact,bacteria,0.004987531172069825,0.5
fact,happiness,0.0024937655860349127,0.5
fact,pets,0.0024937655860349127,0.5
fact,at,0.007481296758104738,0.5
fact,better,0.0024937655860349127,0.5
fact,o,0.004987531172069825,0.5
fact,largest,0.004987531172069825,0.5
fact,flavor,0.0024937655860349127,0.5
fact,winter,0.0024937655860349127,0.5
fact,watching,0.0024937655860349127,0.5
fact,planet,0.004987531172069825,0.5
fact,traveling,0.0024937655860349127,0.5
fact,blood,0.007481296758104738,0.5
fact,wall,0.004987531172069825,0.5
fact,human,0.012468827930174564,0.5
fact,games,0.0024937655860349127,0.5
fact,space,0.004987531172069825,0.5
fact,really,0.0024937655860349127,0.5
fact,",",0.00997506234413965,0.5
fact,successful,0.0024937655860349127,0.5
fact,strict,0.0024937655860349127,0.5
fact,'s,0.007481296758104738,0.5
fact,celsius,0.004987531172069825,0.5
fact,ocean,0.007481296758104738,0.5
fact,for,0.004987531172069825,0.5
fact,your,0.004987531172069825,0.5
fact,by,0.007481296758104738,0.5
fact,china,0.004987531172069825,0.5
fact,best,0.0024937655860349127,0.5
fact,u.s.,0.004987531172069825,0.5
fact,car,0.0024937655860349127,0.5
fact,eye,0.0024937655860349127,0.5
fact,wisdom,0.0024937655860349127,0.5
fact,tower,0.004987531172069825,0.5
fact,’,0.0024937655860349127,0.5
fact,to,0.0024937655860349127,0.5
fact,most,0.004987531172069825,0.5
fact,venus,0.004987531172069825,0.5
fact,only,0.0024937655860349127,0.5
fact,beholder,0.0024937655860349127,0.5
fact,are,0.007481296758104738,0.5
fact,their,0.004987531172069825,0.5
fact,education,0.0024937655860349127,0.5
fact,pacific,0.004987531172069825,0.5
fact,hamilton,0.004987531172069825,0.5
fact,books,0.0024937655860349127,0.5
fact,amazon,0.004987531172069825,0.5
fact,water,0.004987531172069825,0.5
fact,healthier,0.0024937655860349127,0.5
fact,beats,0.0024937655860349127,0.5
fact,speed,0.004987531172069825,0.5
fact,.,0.05236907730673317,0.5
fact,natural,0.0024937655860349127,0.5
fact,element,0.004987531172069825,0.5
fact,faces,0.004987531172069825,0.5
fact,alexander,0.004987531172069825,0.5
fact,viruses,0.004987531172069825,0.5
fact,waste,0.0024937655860349127,0.5
fact,life,0.0024937655860349127,0.5
fact,play,0.0024937655860349127,0.5
fact,antibiotics,0.004987531172069825,0.5
fact,pizza,0.0024937655860349127,0.5
fact,second,0.007481296758104738,0.5
fact,on,0.004987531172069825,0.5
fact,faster,0.004987531172069825,0.5
fact,beach,0.0024937655860349127,0.5
fact,with,0.004987531172069825,0.5
fact,the,0.05236907730673317,0.5
fact,short,0.0024937655860349127,0.5
fact,comes,0.0024937655860349127,0.5
fact,food,0.004987531172069825,0.5
fact,too,0.0024937655860349127,0.5
fact,sound,0.004987531172069825,0.5
fact,ab,0.004987531172069825,0.5
fact,in,0.012468827930174564,0.5
fact,of,0.0199501246882793,0.5
fact,there,0.004987531172069825,0.5
fact,people,0.0024937655860349127,0.5
fact,buy,0.0024937655860349127,0.5
fact,206,0.004987531172069825,0.5
fact,per,0.004987531172069825,0.5
fact,if,0.0024937655860349127,0.5
fact,slaves,0.004987531172069825,0.5
fact,first,0.004987531172069825,0.5
fact,vacation,0.0024937655860349127,0.5
fact,lasts,0.0024937655860349127,0.5
fact,from,0.007481296758104738,0.5
fact,boils,0.004987531172069825,0.5
fact,visible,0.004987531172069825,0.5
fact,beauty,0.0024937655860349127,0.5
fact,more,0.004987531172069825,0.5
fact,which,0.004987531172069825,0.5
fact,bats,0.004987531172069825,0.5
fact,can,0.007481296758104738,0.5
fact,types,0.004987531172069825,0.5
fact,located,0.004987531172069825,0.5
fact,salads,0.0024937655860349127,0.5
fact,isn,0.0024937655860349127,0.5
fact,improve,0.0024937655860349127,0.5
fact,pyramid,0.004987531172069825,0.5
fact,love,0.0024937655860349127,0.5
fact,blueprint,0.004987531172069825,0.5
fact,all,0.0024937655860349127,0.5
fact,blind,0.004987531172069825,0.5
fact,bones,0.004987531172069825,0.5
fact,age,0.0024937655860349127,0.5
fact,movies,0.0024937655860349127,0.5
fact,college,0.0024937655860349127,0.5
fact,produces,0.004987531172069825,0.5
fact,time,0.0024937655860349127,0.5
fact,make,0.004987531172069825,0.5
fact,recognize,0.004987531172069825,0.5
fact,process,0.004987531172069825,0.5
fact,bees,0.004987531172069825,0.5
fact,dogs,0.0024937655860349127,0.5
fact,light,0.007481296758104738,0.5
fact,true,0.0024937655860349127,0.5
fact,every,0.004987531172069825,0.5
fact,four,0.004987531172069825,0.5
